Id,Id2,County,2010-CENSUS,"April 1, 2010 - Estimates Base",2010,2011,2012,2013,2014,2015,2016,2017
0500000US05001,5001,"Arkansas County, Arkansas",19019,19015,19016,18869,18957,18746,18484,18350,18215,17967
0500000US05003,5003,"Ashley County, Arkansas",21853,21851,21833,21673,21518,21281,20958,20837,20498,20283
0500000US05005,5005,"Baxter County, Arkansas",41513,41513,41511,41341,41076,40976,40871,41118,41145,41355
0500000US05007,5007,"Benton County, Arkansas",221339,221364,222558,228827,234315,238902,244192,251016,258704,266300
0500000US05009,5009,"Boone County, Arkansas",36903,36910,36882,37063,37308,37305,37090,37091,37191,37381
0500000US05011,5011,"Bradley County, Arkansas",11508,11505,11472,11425,11262,11120,11007,10998,10979,10864
0500000US05013,5013,"Calhoun County, Arkansas",5368,5368,5362,5243,5278,5193,5168,5201,5162,5247
0500000US05015,5015,"Carroll County, Arkansas",27446,27445,27546,27448,27595,27771,27715,27751,27728,27944
0500000US05017,5017,"Chicot County, Arkansas",11800,11800,11799,11693,11486,11347,11187,10957,10912,10636
0500000US05019,5019,"Clark County, Arkansas",22995,22993,22927,22918,22745,22574,22551,22506,22550,22293
0500000US05021,5021,"Clay County, Arkansas",16083,16083,16049,15872,15706,15481,15295,15197,15057,14920
0500000US05023,5023,"Cleburne County, Arkansas",25970,25981,26003,25890,25773,25638,25603,25358,25159,25048
0500000US05025,5025,"Cleveland County, Arkansas",8689,8692,8678,8672,8607,8515,8397,8284,8260,8202
0500000US05027,5027,"Columbia County, Arkansas",24552,24552,24722,24682,24373,24247,24014,24089,23983,23627
0500000US05029,5029,"Conway County, Arkansas",21273,21267,21217,21115,21127,21071,20977,20912,20895,20916
0500000US05031,5031,"Craighead County, Arkansas",96443,96443,96737,98310,99854,101513,102526,104297,105781,107115
0500000US05033,5033,"Crawford County, Arkansas",61948,61949,61969,61799,61901,61664,61797,61877,62259,62996
0500000US05035,5035,"Crittenden County, Arkansas",50902,50906,50960,50504,50061,49731,49550,49040,49320,48750
0500000US05037,5037,"Cross County, Arkansas",17870,17866,17850,17796,17691,17511,17171,17240,17037,16863
0500000US05039,5039,"Dallas County, Arkansas",8116,8122,8064,8047,7947,7887,7687,7529,7430,7393
0500000US05041,5041,"Desha County, Arkansas",13008,13000,12952,12727,12585,12489,12268,12029,11920,11764
0500000US05043,5043,"Drew County, Arkansas",18509,18518,18666,18725,18776,18672,18635,18617,18628,18547
0500000US05045,5045,"Faulkner County, Arkansas",113237,113242,114028,116223,118421,119096,120463,121113,122083,123654
0500000US05047,5047,"Franklin County, Arkansas",18125,18122,18128,17993,17945,17900,17815,17739,17671,17890
0500000US05049,5049,"Fulton County, Arkansas",12245,12236,12215,12238,12170,12171,12074,12121,12039,12055
0500000US05051,5051,"Garland County, Arkansas",96024,96011,96077,96834,96969,97627,97720,97734,98231,98658
0500000US05053,5053,"Grant County, Arkansas",17853,17842,17885,17932,18023,18035,18069,18016,18094,18165
0500000US05055,5055,"Greene County, Arkansas",42090,42090,42200,42751,43208,43145,43772,44301,44715,45053
0500000US05057,5057,"Hempstead County, Arkansas",22609,22596,22599,22490,22349,22430,22348,22103,22026,21861
0500000US05059,5059,"Hot Spring County, Arkansas",32923,33009,33227,33129,33492,33506,33396,33478,33446,33574
0500000US05061,5061,"Howard County, Arkansas",13789,13784,13808,13821,13685,13555,13516,13375,13438,13478
0500000US05063,5063,"Independence County, Arkansas",36647,36642,36804,36846,36917,36834,37043,37010,37094,37504
0500000US05065,5065,"Izard County, Arkansas",13696,13701,13723,13567,13529,13400,13547,13480,13490,13686
0500000US05067,5067,"Jackson County, Arkansas",17997,17998,18056,17884,17679,17730,17595,17376,17309,17135
0500000US05069,5069,"Jefferson County, Arkansas",77435,77444,77326,76008,74604,73163,72422,71822,70342,69115
0500000US05071,5071,"Johnson County, Arkansas",25540,25540,25551,25641,25879,25901,25972,26126,26225,26552
0500000US05073,5073,"Lafayette County, Arkansas",7645,7643,7647,7533,7448,7284,7163,7016,6928,6862
0500000US05075,5075,"Lawrence County, Arkansas",17415,17411,17517,17276,17037,17050,16970,16700,16639,16525
0500000US05077,5077,"Lee County, Arkansas",10424,10428,10393,10291,10187,10012,9844,9679,9360,9176
0500000US05079,5079,"Lincoln County, Arkansas",14134,14142,14089,14336,14177,14059,14031,13877,13810,13646
