"","word1","word2","n"
"1","https","t.co",2392
"2","ann","coulter",103
"3","ha","ha",94
"4","border","wall",53
"5","wall","https",53
"6","illegal","alien",35
"7","illegal","immigration",30
"8","miles","completed",29
"9","president","trump",29
"10","border","security",23
"11","illegal","aliens",20
"12","anchor","babies",19
"13","america","https",16
"14","jeff","sessions",16
"15","southern","border",16
"16","t.co","yotzermtfx",16
"17","bullshit","bullshit",15
"18","construction","update",15
"19","supreme","court",15
"20","today's","border",15
"21","wall","construction",15
"22","brett","kavanaugh",14
"23","completed","yesterday",14
"24","update","miles",14
"25","update","tomorrow",14
"26","white","house",14
"27","border","patrol",13
"28","donald","trump",13
"29","anncoulter","https",12
"30","border","https",12
"31","gang","rape",12
"32","illegal","immigrant",12
"33","sexual","assault",12
"34","kris","kobach",11
"35","realdonaldtrump","https",11
"36","anti","semitic",10
"37","bill","clinton",10
"38","chuck","schumer",10
"39","foreign","policy",10
"40","i’m","coming",10
"41","immigration","https",10
"42","9","11",9
"43","adios","america",9
"44","ann","coulter's",9
"45","elizabeth","warren",9
"46","jeff","flake",9
"47","kavanaugh","https",9
"48","wall","funding",9
"49","202","224",8
"50","224","3121",8
"51","710","wor",8
"52","american","people",8
"53","breitbart","radio",8
"54","free","speech",8
"55","hillary","clinton",8
"56","kavanaugh","accuser",8
"57","los","angeles",8
"58","nancy","pelosi",8
"59","nikki","haley",8
"60","t.co","owc3js224c",8
"61","tax","cuts",8
"62","washington","post",8
"63","black","americans",7
"64","coulter","talking",7
"65","country","https",7
"66","diversity","https",7
"67","dr","ford",7
"68","health","care",7
"69","john","james",7
"70","legal","immigrants",7
"71","michael","avenatti",7
"72","ms","13",7
"73","president","https",7
"74","sanctuary","cities",7
"75","t.co","upc2f0mpyj",7
"76","trump","https",7
"77","vote","https",7
"78","white","male",7
"79","york","times",7
"80","1","2",6
"81","alex","jones",6
"82","blasey","ford",6
"83","campaign","promise",6
"84","climate","change",6
"85","death","threats",6
"86","democrats","https",6
"87","falsely","accused",6
"88","farrakhan","supporters",6
"89","jim","acosta",6
"90","john","phillips",6
"91","judge","kavanaugh",6
"92","kevin","hart",6
"93","law","enforcement",6
"94","letsflymi","misen",6
"95","marksimoneny","710",6
"96","migrants","https",6
"97","oval","office",6
"98","paul","ryan",6
"99","pussy","hat",6
"100","saudi","arabia",6
"101","sexual","misconduct",6
"102","social","media",6
"103","stephen","miller",6
"104","story","https",6
"105","t.co","0b4ihzv2jd",6
"106","t.co","mo9sqxdnn5",6
"107","t.co","pcbgt5llqz",6
"108","time","https",6
"109","white","people",6
"110","white","supremacist",6
"111","women's","march",6
"112","2018","https",5
"113","5","billion",5
"114","ago","https",5
"115","aliens","https",5
"116","anntensity","anncoulter",5
"117","anntensityawards2018","https",5
"118","asylum","seekers",5
"119","birthright","citizenship",5
"120","breitbart","https",5
"121","breitbartnews","jxhnbinder",5
"122","buildthewall","https",5
"123","cable","news",5
"124","caravan","https",5
"125","claire","mccaskill",5
"126","congrats","anntensityawards2018",5
"127","conspiracy","theory",5
"128","fly","letsflymi",5
"129","gavin","mcinnes",5
"130","gop","voters",5
"131","guy","https",5
"132","happy","birthday",5
"133","howie","carr",5
"134","illegal","immigrants",5
"135","jared","kushner",5
"136","jewish","leaders",5
"137","judiciary","committee",5
"138","julie","swetnik",5
"139","kabc","la",5
"140","law","https",5
"141","let’s","fly",5
"142","lindsey","graham",5
"143","maga","https",5
"144","march","https",5
"145","mark","simone",5
"146","mentally","ill",5
"147","middle","east",5
"148","migrant","caravan",5
"149","millstone","babies",5
"150","misen","teamjohnjames",5
"151","mitch","mcconnell",5
"152","national","review",5
"153","people","https",5
"154","pitman","nj",5
"155","police","officer",5
"156","proud","boys",5
"157","reminder","ann",5
"158","republican","party",5
"159","rolling","stone",5
"160","ronil","singh",5
"161","security","https",5
"162","t.co","aobyvzyube",5
"163","t.co","ibigxqjsk8",5
"164","t.co","lejwkeuw9g",5
"165","tomorrow","https",5
"166","true","history",5
"167","trump","supporters",5
"168","voters","https",5
"169","wall","realdonaldtrump",5
"170","white","guy",5
"171","wor","ny",5
