"","INSTNM","CITY","STABBR","ZIP","ACCREDAGENCY","INSTURL","NPCURL","SCH_DEG","HCM2","UG","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","UGDS_WHITENH","UGDS_BLACKNH","UGDS_API","UGDS_AIANOLD","UGDS_HISPOLD","UG_NRA","UG_UNKN","UG_WHITENH","UG_BLACKNH","UG_API","UG_AIANOLD","UG_HISPOLD","PPTUG_EF","PPTUG_EF2","CURROPER","NPT4_PUB","NPT4_PRIV","NPT4_PROG","NPT4_OTHER","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","NPT41_PROG","NPT42_PROG","NPT43_PROG","NPT44_PROG","NPT45_PROG","NPT41_OTHER","NPT42_OTHER","NPT43_OTHER","NPT44_OTHER","NPT45_OTHER","NPT4_048_PUB","NPT4_048_PRIV","NPT4_048_PROG","NPT4_048_OTHER","NPT4_3075_PUB","NPT4_3075_PRIV","NPT4_75UP_PUB","NPT4_75UP_PRIV","NPT4_3075_PROG","NPT4_3075_OTHER","NPT4_75UP_PROG","NPT4_75UP_OTHER","NUM4_PUB","NUM4_PRIV","NUM4_PROG","NUM4_OTHER","NUM41_PUB","NUM42_PUB","NUM43_PUB","NUM44_PUB","NUM45_PUB","NUM41_PRIV","NUM42_PRIV","NUM43_PRIV","NUM44_PRIV","NUM45_PRIV","NUM41_PROG","NUM42_PROG","NUM43_PROG","NUM44_PROG","NUM45_PROG","NUM41_OTHER","NUM42_OTHER","NUM43_OTHER","NUM44_OTHER","NUM45_OTHER","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","TUITFTE","INEXPFTE"
"1","University of Arkansas at Little Rock","Little Rock","AR","72204","North Central Association of Colleges and Schools The Higher Learning Commission","ualr.edu/www/","ualr.edu/finaid/npc/npcalc.htm","NULL",0,"NULL","0.5158","0.2679","0.0731","0.0229","0.0028","0","0.0889","0.024","0.0046","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4187","NULL",1,"12218","NULL","NULL","NULL","11601","11289","12907","14295","14084","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11511","NULL","NULL","NULL","11938","NULL","14211","NULL","NULL","NULL","NULL","NULL","495","NULL","NULL","NULL","237","97","65","58","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20714","NULL","7624","17956","NULL","5470","7814"
"2","University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199","North Central Association of Colleges and Schools The Higher Learning Commission","www.uams.edu","www.uams.edu","NULL",0,"NULL","0.7556","0.1143","0.0526","0.0263","0.0079","0","0.025","0.0039","0.0145","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2444","NULL",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14247","60772"
"3","ABC Beauty College Inc","Arkadelphia","AR","71923","NULL","www.abc-beautycollege.com","www.abc-beautycollege.com","NULL",0,"NULL","0.5714","0.4286","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1905","NULL",0,"NULL","5074","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5074","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5074","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11465","NULL","NULL","12400","4665","7653"
"4","Arkansas Baptist College","Little Rock","AR","72202-6068","North Central Association of Colleges and Schools The Higher Learning Commission","www.arkansasbaptist.edu","arkansasbaptist.edu/New_NetPriceCalculator/npcalc.htm","NULL",1,"NULL","0.0394","0.9484","0.0061","0","0","0","0","0.0061","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1365","NULL",1,"NULL","13892","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13612","13577","17076","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13607","NULL","NULL","NULL","14860","NULL","NULL","NULL","NULL","NULL","NULL","NULL","267","NULL","NULL","NULL","NULL","NULL","NULL","NULL","207","38","22","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19723","NULL","8760","8760","NULL","8219","4201"
"5","Arkansas Beauty School-Little Rock","Little Rock","AR","72209","National Accrediting Commission of Career Arts and Sciences","arkbeautyschool.com","arkbeautyschool.com","NULL",0,"NULL","0.0676","0.9054","0","0","0","0","0","0","0.027","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0676","NULL",1,"NULL","13933","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13933","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13933","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17753","NULL","NULL","16125","4894","1669"
"6","Arkansas Beauty College","Russellville","AR","72801","Accrediting Commission of Career Schools and Colleges","www.arkansasbeautycollegersvlar.com/","arkansasbeautycollegersvlar.com","NULL",0,"NULL","0.913","0","0.087","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0435","NULL",1,"NULL","8973","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8428","9445","12931","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8613","NULL","NULL","NULL","10607","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9","2","1","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12931","NULL","NULL","14400","15960","6047"
"7","Lyon College","Batesville","AR","72501","North Central Association of Colleges and Schools The Higher Learning Commission","www.lyon.edu","https://my.lyon.edu/ics/default.aspx","NULL",0,"NULL","0.7481","0.0607","0.0667","0.0178","0.0193","0","0","0.0237","0.0637","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.003","NULL",1,"NULL","17003","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13631","14275","18551","19303","19649","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13861","NULL","NULL","NULL","16906","NULL","19499","NULL","NULL","NULL","NULL","NULL","208","NULL","NULL","NULL","NULL","NULL","NULL","NULL","54","30","48","33","43","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","34566","NULL","25280","25280","NULL","8706","8492"
"8","Arkansas College of Barbering and Hair Design","North Little Rock","AR","72114","Accrediting Commission of Career Schools and Colleges","www.arkansascollegeofbarbering.com","www.arkansascollegeofbarbering.com","NULL",0,"NULL","0.0511","0.9432","0","0","0","0","0","0","0.0057","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0682","NULL",1,"NULL","17782","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16923","22080","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17782","NULL","NULL","NULL","22080","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22080","NULL","NULL","16750","8000","1239"
"9","Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","72901-3342","NULL","www.arthursbeautycollege.com","www.arthursbeautycollege.com/fort-smith.html","NULL",0,"NULL","0.8276","0.069","0.0345","0.0345","0.0345","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL",0,"NULL","11801","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11801","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11801","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17","NULL","NULL","NULL","NULL","NULL","NULL","NULL","17","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15442","NULL","NULL","13045","20987","11011"
"10","University of Arkansas","Fayetteville","AR","72701","North Central Association of Colleges and Schools The Higher Learning Commission","www.uark.edu","https://finaid.uark.edu/aid-calculator.php","NULL",0,"NULL","0.7722","0.0479","0.076","0.0248","0.0112","0.0008","0.0329","0.0301","0.0042","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1095","NULL",1,"14546","NULL","NULL","NULL","11335","12017","14631","17533","17830","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11596","NULL","NULL","NULL","13425","NULL","17719","NULL","NULL","NULL","NULL","NULL","1324","NULL","NULL","NULL","346","214","250","191","323","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","21288","NULL","8522","21826","NULL","7866","9362"
