Fact,"Washington County, Arkansas",Arkansas,UNITED STATES
"Population estimates, July 1, 2018,  (V2018)",NA,3013825,327167434
"Population estimates, July 1, 2017,  (V2017)",231996,3004279,325719178
"Population estimates base, April 1, 2010,  (V2018)",NA,2916028,308758105
"Population estimates base, April 1, 2010,  (V2017)",203041,2916031,308758105
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2018,  (V2018)",NA,0.034,0.06
"Population, Census, April 1, 2010",203065,2915918,308745538
"Veterans, 2013-2017",11192,206796,18939219
"Housing units,  July 1, 2017,  (V2017)",93742,1370111,137403460
"Median value of owner-occupied housing units, 2013-2017 - $",162900,118500,193500
"Median selected monthly owner costs -with a mortgage, 2013-2017- $",1190,1039,1515
"Median selected monthly owner costs -without a mortgage, 2013-2017- $",363,336,474
"Median gross rent, 2013-2017- $",743,709,982
"Building permits, 2017",1387,10795,1281977
"Households, 2013-2017",84460,1147291,118825921
"Persons per household, 2013-2017",2.56,2.52,2.63
"Total accommodation and food services sales, 2012 ($1,000)",399430,4307264,708138598
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",1525807,15792628,2040441203
"Total manufacturers shipments, 2012 ($1,000)",3487047,62712925,5696729632
"Total merchant wholesaler sales, 2012 ($1,000)",1739969,31256110,5208023478
"Total retail sales, 2012 ($1,000)",2925758,36815256,4219821871
"Total retail sales per capita, 2012- $",13839,12483,13443
"Mean travel time to work (minutes), workers age 16 years+, 2013-2017",21.5,21.6,26.4
"Median household income (in 2017 dollars), 2013-2017- $",47452,43813,57652
"Per capita income in past 12 months (in 2017 dollars), 2013-2017- $",26371,24426,31177
"Total employer establishments, 2016",5312,65611,7757807
"Total employment, 2016",88197,1023854,126752238
"Total annual payroll, 2016 ($1,000)",3588848,40969051,6435142055
"Total nonemployer establishments, 2016",16345,201227,24813048
"All firms, 2012",18555,231959,27626360
"Men-owned firms, 2012",9550,123158,14844597
"Women-owned firms, 2012",5948,75962,9878397
"Minority-owned firms, 2012",2400,35982,7952386
"Nonminority-owned firms, 2012",15226,189029,18987918
"Veteran-owned firms, 2012",1629,25915,2521682
"Nonveteran-owned firms, 2012",15097,192988,24070685
"Population per square mile, 2010",215.6,56,87.4
"Land area in square miles, 2010",941.97,52035.48,3531905.43
FIPS Code,"""05143""","""05""","""00"""
