"","word","sentiment","n"
"1","time","anticipation",231
"2","vote","anger",214
"3","vote","anticipation",214
"4","vote","joy",214
"5","vote","negative",214
"6","vote","positive",214
"7","vote","sadness",214
"8","vote","surprise",214
"9","vote","trust",214
"10","congress","disgust",178
"11","congress","trust",178
"12","don","positive",148
"13","don","trust",148
"14","change","fear",147
"15","primary","positive",130
"16","justice","positive",106
"17","justice","trust",106
"18","money","anger",102
"19","money","anticipation",102
"20","money","joy",102
"21","money","positive",102
"22","money","surprise",102
"23","money","trust",102
"24","community","positive",101
"25","candidate","positive",99
"26","join","positive",99
"27","progressive","positive",97
"28","fight","anger",93
"29","fight","fear",93
"30","fight","negative",93
"31","public","anticipation",79
"32","public","positive",79
"33","real","positive",76
"34","real","trust",76
"35","deal","anticipation",73
"36","deal","joy",73
"37","deal","positive",73
"38","deal","surprise",73
"39","deal","trust",73
"40","politics","anger",72
"41","love","joy",71
"42","love","positive",71
"43","pay","anticipation",67
"44","pay","joy",67
"45","pay","positive",67
"46","pay","trust",67
"47","proud","anticipation",63
"48","proud","joy",63
"49","proud","positive",63
"50","proud","trust",63
"51","trump","surprise",62
"52","debate","positive",61
"53","talk","positive",57
"54","team","trust",54
"55","green","joy",53
"56","green","positive",53
"57","green","trust",53
"58","tax","negative",50
"59","tax","sadness",50
"60","committee","trust",47
"61","policy","trust",47
"62","tomorrow","anticipation",46
"63","fighting","anger",44
"64","fighting","negative",44
"65","system","trust",44
"66","calls","anticipation",39
"67","calls","negative",39
"68","calls","trust",39
"69","hope","anticipation",39
"70","hope","joy",39
"71","hope","positive",39
"72","hope","surprise",39
"73","hope","trust",39
"74","watch","anticipation",39
"75","watch","fear",39
"76","powerful","anger",37
"77","powerful","anticipation",37
"78","powerful","disgust",37
"79","powerful","fear",37
"80","powerful","joy",37
"81","powerful","positive",37
"82","powerful","trust",37
"83","plan","anticipation",35
"84","united","positive",35
"85","united","trust",35
"86","start","anticipation",34
"87","elect","positive",33
"88","elect","trust",33
"89","happen","anticipation",33
"90","honor","positive",33
"91","honor","trust",33
"92","major","positive",33
"93","action","positive",32
"94","learn","positive",32
"95","nation","trust",32
"96","president","positive",32
"97","president","trust",32
"98","crisis","negative",31
"99","democracy","positive",31
"100","forward","positive",30
"101","job","positive",30
"102","child","anticipation",29
"103","child","joy",29
"104","child","positive",29
"105","opportunity","anticipation",29
"106","opportunity","positive",29
"107","senate","trust",29
"108","courage","positive",28
"109","moral","anger",28
"110","moral","positive",28
"111","moral","trust",28
"112","respect","anticipation",28
"113","respect","joy",28
"114","respect","positive",28
"115","respect","trust",28
"116","volunteer","anticipation",28
"117","volunteer","fear",28
"118","volunteer","joy",28
"119","volunteer","positive",28
"120","volunteer","trust",28
"121","coming","anticipation",27
"122","criminal","anger",27
"123","criminal","disgust",27
"124","criminal","fear",27
"125","criminal","negative",27
"126","machine","trust",27
"127","share","anticipation",27
"128","share","joy",27
"129","share","positive",27
"130","share","trust",27
"131","ballot","anticipation",26
"132","ballot","positive",26
"133","ballot","trust",26
"134","bold","positive",26
"135","build","positive",26
"136","excited","anticipation",26
"137","excited","joy",26
"138","excited","positive",26
"139","excited","surprise",26
"140","excited","trust",26
"141","happy","anticipation",26
"142","happy","joy",26
"143","happy","positive",26
"144","happy","trust",26
"145","top","anticipation",26
"146","top","positive",26
"147","top","trust",26
"148","true","joy",26
"149","true","positive",26
"150","true","trust",26
"151","court","anger",25
"152","court","anticipation",25
"153","court","fear",25
"154","debt","negative",25
"155","debt","sadness",25
"156","labor","anticipation",25
"157","labor","joy",25
"158","labor","positive",25
"159","labor","surprise",25
"160","labor","trust",25
"161","school","trust",25
"162","wait","anticipation",25
"163","wait","negative",25
"164","deserve","anger",24
"165","deserve","anticipation",24
"166","deserve","positive",24
"167","deserve","trust",24
"168","reform","positive",24
"169","supporting","positive",24
"170","supporting","trust",24
"171","economy","trust",23
"172","fun","anticipation",23
"173","fun","joy",23
"174","fun","positive",23
"175","government","fear",23
"176","government","negative",23
"177","lobbyist","negative",23
"178","question","positive",23
"179","wages","joy",23
"180","wages","positive",23
"181","war","fear",23
"182","war","negative",23
"183","blue","sadness",22
"184","guarantee","positive",22
"185","guarantee","trust",22
"186","law","trust",22
"187","leader","positive",22
"188","leader","trust",22
"189","ready","anticipation",22
"190","shout","anger",22
"191","shout","surprise",22
"192","status","positive",22
"193","actual","positive",21
"194","building","positive",21
"195","official","trust",21
"196","organize","positive",21
"197","white","anticipation",21
"198","white","joy",21
"199","white","positive",21
"200","white","trust",21
"201","create","joy",20
"202","create","positive",20
"203","demand","anger",20
"204","demand","negative",20
"205","including","positive",20
"206","lead","positive",20
"207","opponent","anger",20
"208","opponent","anticipation",20
"209","opponent","disgust",20
"210","opponent","fear",20
"211","opponent","negative",20
"212","reason","positive",20
"213","abolish","anger",19
"214","abolish","negative",19
"215","completely","positive",19
"216","fair","positive",19
"217","lost","negative",19
"218","lost","sadness",19
"219","majority","joy",19
"220","majority","positive",19
"221","majority","trust",19
"222","winning","anticipation",19
"223","winning","disgust",19
"224","winning","joy",19
"225","winning","positive",19
"226","winning","sadness",19
"227","winning","surprise",19
"228","winning","trust",19
"229","bad","anger",18
"230","bad","disgust",18
"231","bad","fear",18
"232","bad","negative",18
"233","bad","sadness",18
"234","champion","anticipation",18
"235","champion","joy",18
"236","champion","positive",18
"237","champion","trust",18
"238","dignity","positive",18
"239","dignity","trust",18
"240","governor","trust",18
"241","pretty","anticipation",18
"242","pretty","joy",18
"243","pretty","positive",18
"244","pretty","trust",18
"245","revolution","anger",18
"246","revolution","anticipation",18
"247","revolution","fear",18
"248","revolution","negative",18
"249","revolution","positive",18
"250","revolution","sadness",18
"251","revolution","surprise",18
"252","spent","negative",18
"253","violence","anger",18
"254","violence","fear",18
"255","violence","negative",18
"256","violence","sadness",18
"257","detention","negative",17
"258","detention","sadness",17
"259","income","anticipation",17
"260","income","joy",17
"261","income","negative",17
"262","income","positive",17
"263","income","sadness",17
"264","income","trust",17
"265","truth","positive",17
"266","truth","trust",17
"267","assault","anger",16
"268","assault","fear",16
"269","assault","negative",16
"270","board","anticipation",16
"271","force","anger",16
"272","force","fear",16
"273","force","negative",16
"274","inspired","joy",16
"275","inspired","positive",16
"276","inspired","surprise",16
"277","inspired","trust",16
"278","save","joy",16
"279","save","positive",16
"280","save","trust",16
"281","volunteers","trust",16
"282","bottom","negative",15
"283","bottom","sadness",15
"284","cover","trust",15
"285","leave","negative",15
"286","leave","sadness",15
"287","leave","surprise",15
"288","vision","anticipation",15
"289","vision","positive",15
"290","wrong","negative",15
"291","ahead","positive",14
"292","attention","positive",14
"293","black","negative",14
"294","black","sadness",14
"295","corruption","disgust",14
"296","corruption","negative",14
"297","courageous","fear",14
"298","courageous","positive",14
"299","female","positive",14
"300","food","joy",14
"301","food","positive",14
"302","food","trust",14
"303","found","joy",14
"304","found","positive",14
"305","found","trust",14
"306","influence","negative",14
"307","influence","positive",14
"308","personal","trust",14
"309","special","joy",14
"310","special","positive",14
"311","spoke","negative",14
"312","standing","positive",14
"313","word","positive",14
"314","word","trust",14
"315","advocacy","anger",13
"316","advocacy","anticipation",13
"317","advocacy","joy",13
"318","advocacy","positive",13
"319","advocacy","trust",13
"320","broken","anger",13
"321","broken","fear",13
"322","broken","negative",13
"323","broken","sadness",13
"324","count","positive",13
"325","count","trust",13
"326","friend","joy",13
"327","friend","positive",13
"328","friend","trust",13
"329","ground","trust",13
"330","honest","anger",13
"331","honest","disgust",13
"332","honest","fear",13
"333","honest","joy",13
"334","honest","positive",13
"335","honest","sadness",13
"336","honest","trust",13
"337","level","positive",13
"338","level","trust",13
"339","luxury","joy",13
"340","luxury","positive",13
"341","risk","anticipation",13
"342","risk","fear",13
"343","risk","negative",13
"344","safe","joy",13
"345","safe","positive",13
"346","safe","trust",13
"347","youth","anger",13
"348","youth","anticipation",13
"349","youth","fear",13
"350","youth","joy",13
"351","youth","positive",13
"352","youth","surprise",13
"353","afford","positive",12
"354","beautiful","joy",12
"355","beautiful","positive",12
"356","benefit","positive",12
"357","challenge","anger",12
"358","challenge","fear",12
"359","challenge","negative",12
"360","chance","surprise",12
"361","committed","positive",12
"362","committed","trust",12
"363","disaster","anger",12
"364","disaster","disgust",12
"365","disaster","fear",12
"366","disaster","negative",12
"367","disaster","sadness",12
"368","disaster","surprise",12
"369","haven","positive",12
"370","haven","trust",12
"371","inequality","anger",12
"372","inequality","fear",12
"373","inequality","negative",12
"374","inequality","sadness",12
"375","joined","positive",12
"376","lines","fear",12
"377","organized","positive",12
"378","prison","anger",12
"379","prison","fear",12
"380","prison","negative",12
"381","prison","sadness",12
"382","recovery","positive",12
"383","shot","anger",12
"384","shot","fear",12
"385","shot","negative",12
"386","shot","sadness",12
"387","shot","surprise",12
"388","slavery","anger",12
"389","slavery","disgust",12
"390","slavery","fear",12
"391","slavery","negative",12
"392","slavery","sadness",12
"393","supreme","positive",12
"394","words","anger",12
"395","words","negative",12
"396","account","trust",11
"397","choice","positive",11
"398","crime","anger",11
"399","crime","negative",11
"400","daily","anticipation",11
"401","diverse","negative",11
"402","diverse","positive",11
"403","draft","anticipation",11
"404","fake","negative",11
"405","forget","negative",11
"406","growth","positive",11
"407","hearing","fear",11
"408","hearing","negative",11
"409","hit","anger",11
"410","hit","negative",11
"411","inspiration","anticipation",11
"412","inspiration","joy",11
"413","inspiration","positive",11
"414","military","fear",11
"415","pledge","joy",11
"416","pledge","positive",11
"417","pledge","trust",11
"418","solidarity","trust",11
"419","supporter","joy",11
"420","supporter","positive",11
"421","supporter","trust",11
"422","thankful","joy",11
"423","thankful","positive",11
"424","abuse","anger",10
"425","abuse","disgust",10
"426","abuse","fear",10
"427","abuse","negative",10
"428","abuse","sadness",10
"429","agree","positive",10
"430","argument","anger",10
"431","argument","negative",10
"432","break","surprise",10
"433","cash","anger",10
"434","cash","anticipation",10
"435","cash","fear",10
"436","cash","joy",10
"437","cash","positive",10
"438","cash","trust",10
"439","civil","positive",10
"440","continue","anticipation",10
"441","continue","positive",10
"442","continue","trust",10
"443","county","trust",10
"444","effort","positive",10
"445","favorite","joy",10
"446","favorite","positive",10
"447","favorite","trust",10
"448","fierce","anger",10
"449","fierce","disgust",10
"450","fierce","fear",10
"451","fierce","negative",10
"452","hate","anger",10
"453","hate","disgust",10
"454","hate","fear",10
"455","hate","negative",10
"456","hate","sadness",10
"457","hurricane","fear",10
"458","hurricane","negative",10
"459","immigrant","fear",10
"460","incarceration","anger",10
"461","incarceration","disgust",10
"462","incarceration","fear",10
"463","incarceration","negative",10
"464","incarceration","sadness",10
"465","investigation","anticipation",10
"466","joy","joy",10
"467","joy","positive",10
"468","late","negative",10
"469","late","sadness",10
"470","leading","trust",10
"471","mar","negative",10
"472","provide","positive",10
"473","provide","trust",10
"474","revolutionary","positive",10
"475","rule","fear",10
"476","rule","trust",10
"477","seek","anticipation",10
"478","speech","positive",10
"479","strength","positive",10
"480","strength","trust",10
"481","urgent","anticipation",10
"482","urgent","fear",10
"483","urgent","negative",10
"484","urgent","surprise",10
"485","absentee","negative",9
"486","absentee","sadness",9
"487","accountable","positive",9
"488","accountable","trust",9
"489","advance","anticipation",9
"490","advance","fear",9
"491","advance","joy",9
"492","advance","positive",9
"493","advance","surprise",9
"494","attorney","anger",9
"495","attorney","fear",9
"496","attorney","positive",9
"497","attorney","trust",9
"498","brother","positive",9
"499","brother","trust",9
"500","budget","trust",9
"501","center","positive",9
"502","center","trust",9
"503","chairman","positive",9
"504","chairman","trust",9
"505","congressman","trust",9
"506","cool","positive",9
"507","earn","positive",9
"508","electorate","trust",9
"509","existence","positive",9
"510","fear","anger",9
"511","fear","fear",9
"512","fear","negative",9
"513","fellow","positive",9
"514","fellow","trust",9
"515","grow","anticipation",9
"516","grow","joy",9
"517","grow","positive",9
"518","grow","trust",9
"519","hostage","anger",9
"520","hostage","fear",9
"521","hostage","negative",9
"522","injustice","anger",9
"523","injustice","negative",9
"524","journalist","positive",9
"525","land","positive",9
"526","learning","positive",9
"527","lose","anger",9
"528","lose","disgust",9
"529","lose","fear",9
"530","lose","negative",9
"531","lose","sadness",9
"532","lose","surprise",9
"533","neighborhood","anticipation",9
"534","poverty","anger",9
"535","poverty","disgust",9
"536","poverty","fear",9
"537","poverty","negative",9
"538","poverty","sadness",9
"539","protect","positive",9
"540","prove","positive",9
"541","received","positive",9
"542","refuse","negative",9
"543","reject","anger",9
"544","reject","fear",9
"545","reject","negative",9
"546","reject","sadness",9
"547","resources","joy",9
"548","resources","positive",9
"549","resources","trust",9
"550","rising","anticipation",9
"551","rising","joy",9
"552","rising","positive",9
"553","serve","negative",9
"554","serve","trust",9
"555","trade","trust",9
"556","trust","trust",9
"557","unacceptable","negative",9
"558","unacceptable","sadness",9
"559","worth","positive",9
"560","advocate","trust",8
"561","afraid","fear",8
"562","afraid","negative",8
"563","celebrating","anticipation",8
"564","celebrating","joy",8
"565","celebrating","positive",8
"566","conspiracy","fear",8
"567","cross","anger",8
"568","cross","fear",8
"569","cross","negative",8
"570","cross","sadness",8
"571","defeated","negative",8
"572","defeated","sadness",8
"573","demanding","negative",8
"574","dignified","positive",8
"575","donation","positive",8
"576","excellent","joy",8
"577","excellent","positive",8
"578","excellent","trust",8
"579","fire","fear",8
"580","fraud","anger",8
"581","fraud","negative",8
"582","giving","positive",8
"583","granted","positive",8
"584","impossible","negative",8
"585","impossible","sadness",8
"586","improve","anticipation",8
"587","improve","joy",8
"588","improve","positive",8
"589","improve","trust",8
"590","larger","disgust",8
"591","larger","surprise",8
"592","larger","trust",8
"593","legal","positive",8
"594","legal","trust",8
"595","mail","anticipation",8
"596","minimum","negative",8
"597","mother","anticipation",8
"598","mother","joy",8
"599","mother","negative",8
"600","mother","positive",8
"601","mother","sadness",8
"602","mother","trust",8
"603","nomination","positive",8
"604","offer","positive",8
"605","perfect","anticipation",8
"606","perfect","joy",8
"607","perfect","positive",8
"608","perfect","trust",8
"609","pick","positive",8
"610","sense","positive",8
"611","statement","positive",8
"612","statement","trust",8
"613","teacher","positive",8
"614","teacher","trust",8
"615","upset","anger",8
"616","upset","negative",8
"617","upset","sadness",8
"618","victory","anticipation",8
"619","victory","joy",8
"620","victory","positive",8
"621","victory","trust",8
"622","agreed","positive",7
"623","agreed","trust",7
"624","attack","anger",7
"625","attack","fear",7
"626","attack","negative",7
"627","balance","positive",7
