"","university_college","campus","student_enrollment1","violent_crime","murder_and_nonnegligent_manslaughter","rape2","robbery","aggravated_assault","property_crime","burglary","larceny_theft","motor_vehicle_theft","arson"
"1","Arkansas State University:  Beebe","Beebe",3989,0,0,0,0,0,6,2,4,0,0
"2","Arkansas State University:  Jonesboro","Jonesboro",14085,5,0,2,0,3,62,10,52,0,1
"3","Arkansas State University:  Newport","Newport",2735,0,0,0,0,0,0,0,0,0,0
"4","Arkansas Tech University Russellville","Russellville",11894,1,0,1,0,0,101,10,90,1,0
"5","Henderson State University Arkadelphia","Arkadelphia",3551,5,0,2,2,1,30,2,27,1,2
"6","Southern Arkansas University Magnolia","Magnolia",4771,3,0,2,1,0,18,3,14,1,0
"7","University of Arkansas Community College Morrilton","Morrilton",2029,0,0,0,0,0,7,0,7,0,1
"8","University of Arkansas:  Fayetteville","Fayetteville",27194,9,0,2,2,5,226,13,170,43,2
"9","University of Arkansas:  Little Rock","Little Rock",11746,3,0,0,1,2,80,5,74,1,0
"10","University of Arkansas:  Medical Sciences","Little Rock",2869,9,0,0,1,8,95,0,88,7,0
"11","University of Arkansas:  Pine Bluff","Pine Bluff",2821,3,0,0,1,2,57,12,44,1,0
