"","hashtag","ScoreSum"
"1","buildthewall",8
"2","maga",8
"3","anntensityawards2018",7
"4","dodgers",5
"5","reminder",5
"6","1210speakerseries",4
"7","diversity",4
"8","diversityisastrength",4
"9","americafirst",3
"10","breaking",3
"11","democrats",3
"12","kavanaugh",3
"13","letsflymi",3
"14","misen",3
"15","mornin",3
"16","resistanceisfutile",3
"17","trumpaddress",3
"18","andreweggerschoolofjournalism",2
"19","anncoulter",2
"20","anncoulterfans",2
"21","annthusiasts",2
"22","ca08",2
"23","fakenews",2
"24","jimandsam",2
"25","metoo",2
"26","nextrevfnc",2
"27","protip",2
"28","startspreadingthenews",2
"29","stopthesteal",2
"30","syria",2
"31","tcot",2
"32","trivia",2
"33","trump",2
"34","ttt",2
"35","votedonnelly",2
"36","wattersworld",2
"37","whiteprivilege",2
"38","yankees",2
"39","11msnbc",1
"40","2018inreview",1
"41","abolishfbi",1
"42","abolishice",1
"43","accusationaloneisproof",1
"44","actoflove",1
"45","acushnet",1
"46","adiosamerica",1
"47","afghanistan",1
"48","america2018",1
"49","annforceone",1
"50","antifa",1
"51","anyamnestykillsthecountry",1
"52","arizona",1
"53","asylum",1
"54","beyondparody",1
"55","bidenmode",1
"56","blexit",1
"57","bordercrisis",1
"58","brazil",1
"59","brendasnipes",1
"60","brettkavanaugh",1
"61","broward",1
"62","brussels",1
"63","buildthatwall",1
"64","buildthatwallnow",1
"65","california",1
"66","chicago",1
"67","christineblaseyford",1
"68","christmas",1
"69","concord",1
"70","coreyforsenate",1
"71","corporalsingh",1
"72","coulter",1
"73","coulteradvanceteams",1
"74","coulterarchives",1
"75","coultercalendar",1
"76","coulterclassics",1
"77","coulterevents",1
"78","coulterfans",1
"79","coulternation",1
"80","coultertrivia",1
"81","czechrepubli",1
"82","deborahramirez",1
"83","democrat",1
"84","democratsaredangerous",1
"85","didyouknow",1
"86","disclaimer",1
"87","diversityisourstrength",1
"88","dontlistentojared",1
"89","dowhatwesaid",1
"90","elizabethwarren",1
"91","exit",1
"92","fakenewsmedia",1
"93","fbireport",1
"94","firststepact",1
"95","flashback",1
"96","flgov",1
"97","florida",1
"98","floridarecount",1
"99","floyd",1
"100","flpol",1
"101","freedomcenter",1
"102","futuredemvoters",1
"103","getty",1
"104","goml",1
"105","google",1
"106","googletape",1
"107","h1b",1
"108","hawaiiindependence",1
"109","heroin",1
"110","hurricaneflorence",1
"111","hypocrite",1
"112","hypocrites",1
"113","icymi",1
"114","illegalimmigration",1
"115","illegals",1
"116","immigration",1
"117","italy",1
"118","itsalwaysimmigration",1
"119","jameswhiteybulger",1
"120","justasking",1
"121","kavanaughaccuser",1
"122","kavanaughaccusers",1
"123","kavanaughconfirmation",1
"124","kavanaughvictoryday",1
"125","ksfomorningshow",1
"126","left",1
"127","lessonsforthefuture",1
"128","libtardséance",1
"129","lol",1
"130","makesyriagreatagain",1
"131","mattis",1
"132","mattisresignation",1
"133","metoomeetsimmigrants",1
"134","midtermelection",1
"135","midterms2018",1
"136","migration",1
"137","minorityleadermcconnell",1
"138","miserable",1
"139","monteoliveto",1
"140","naples",1
"141","nationalauthorsday",1
"142","nationalchampionship",1
"143","nationalsecurity",1
"144","ndsen",1
"145","nevereverbadstuff",1
"146","newuscitizen",1
"147","noamenstyever",1
"148","noamnesty",1
"149","normmacdonald",1
"150","notsurehowthingsworkanymore",1
"151","oldiebutgoodie",1
"152","opioids",1
"153","overrated",1
"154","portland",1
"155","prisonreform",1
"156","privilege",1
"157","putuporshutup",1
"158","qanon",1
"159","refuge",1
"160","respect",1
"161","ronilsingh",1
"162","s",1
"163","sarahjeongwins",1
"164","securetheborder",1
"165","shameful",1
"166","soros",1
"167","sotu",1
"168","spygate",1
"169","stealthcandidates",1
"170","stopthebrendasnipes",1
"171","superpowers",1
"172","surveillance",1
"173","teamjohnjames",1
"174","thankgoditsnotjeb",1
"175","thanksgivingweek2018",1
"176","thecoulterarchives",1
"177","thefarside",1
"178","thethanksweget",1
"179","thingsthatmakeyougohmm",1
"180","true",1
"181","trumphurtmyliberalbutt",1
"182","trumpspeech",1
"183","truth",1
"184","tucker",1
"185","twitter",1
"186","unitednations",1
"187","upcomingmassachusettsvisit",1
"188","utterimbeciles",1
"189","whatsthepoint",1
"190","winning",1
"191","woke",1
"192","wokejoke",1
"193","worldseries",1
"194","ybls2018",1
